Pro_Name,Pro_Code,Bgy_Name,Bgy_Code
Lanao Del Sur,PH153600000,Galawan,PH153611040
Lanao Del Sur,PH153600000,Gambai,PH153611041
Lanao Del Sur,PH153600000,Kasola,PH153611044
Lanao Del Sur,PH153600000,Lalangitun,PH153611046
Lanao Del Sur,PH153600000,Lama,PH153611047
Lanao Del Sur,PH153600000,Lindongan Dialongana,PH153611052
Lanao Del Sur,PH153600000,Lobo Basara,PH153611054
Lanao Del Sur,PH153600000,Lumbac Bacayawan,PH153611055
Lanao Del Sur,PH153600000,Macaguiling,PH153611058
Lanao Del Sur,PH153600000,Mapantao,PH153611065
Lanao Del Sur,PH153600000,Mapoling,PH153611066
Lanao Del Sur,PH153600000,Pagayawan,PH153611070
Lanao Del Sur,PH153600000,Maribo (Pob.),PH153611077
Lanao Del Sur,PH153600000,Posudaragat,PH153611078
Lanao Del Sur,PH153600000,Rumayas,PH153611079
Lanao Del Sur,PH153600000,Sabala Bantayao,PH153611081
Lanao Del Sur,PH153600000,Salaman,PH153611082
Lanao Del Sur,PH153600000,Salolodun Berwar,PH153611083
