Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Variable,Value
Lanao Del Sur,PH153600000,Turogan,PH153611097,Number of School,2
Lanao Del Sur,PH153600000,Minaring Diladigan,PH153611098,Number of School,1
Lanao Del Sur,PH153600000,Buad,PH153612011,Number of School,1
Lanao Del Sur,PH153600000,Budi,PH153612012,Number of School,1
Lanao Del Sur,PH153600000,Dago-ok,PH153612017,Number of School,1
Lanao Del Sur,PH153600000,Dalama,PH153612018,Number of School,2
Lanao Del Sur,PH153600000,Dalipuga,PH153612021,Number of School,2
Lanao Del Sur,PH153600000,Lalapung,PH153612024,Number of School,1
Lanao Del Sur,PH153600000,Lunay,PH153612032,Number of School,1
Lanao Del Sur,PH153600000,Poblacion (Lumbatan),PH153612043,Number of School,3
Lanao Del Sur,PH153600000,Ligue,PH153612052,Number of School,1
Lanao Del Sur,PH153600000,Kormatan,PH153613010,Number of School,1
Lanao Del Sur,PH153600000,Dandamun,PH153613012,Number of School,1
Lanao Del Sur,PH153600000,Delausan,PH153613015,Number of School,1
Lanao Del Sur,PH153600000,Sabanding,PH153613031,Number of School,1
Lanao Del Sur,PH153600000,Salongabanding,PH153613032,Number of School,1
Lanao Del Sur,PH153600000,Tamporong,PH153613034,Number of School,1
Lanao Del Sur,PH153600000,Tongantongan,PH153613035,Number of School,1
Lanao Del Sur,PH153600000,Liangan,PH153613040,Number of School,3
Lanao Del Sur,PH153600000,Bacayawan,PH153613049,Number of School,6
Lanao Del Sur,PH153600000,Lakitan,PH153614011,Number of School,2
Lanao Del Sur,PH153600000,Lumbaca Ingud,PH153614014,Number of School,4
Lanao Del Sur,PH153600000,Madamba,PH153614019,Number of School,2
Lanao Del Sur,PH153600000,Tubaran,PH153614022,Number of School,1
Lanao Del Sur,PH153600000,Uyaan Proper (Pob.),PH153614027,Number of School,2
Lanao Del Sur,PH153600000,BPS Village,PH153615018,Number of School,1
Lanao Del Sur,PH153600000,Campo Muslim,PH153615020,Number of School,3
Lanao Del Sur,PH153600000,Corahab,PH153615022,Number of School,2
Lanao Del Sur,PH153600000,Diamaro,PH153615023,Number of School,2
Lanao Del Sur,PH153600000,Cabasaran (South),PH153615028,Number of School,2
Lanao Del Sur,PH153600000,Calumbog,PH153615029,Number of School,1
Lanao Del Sur,PH153600000,Mananayo,PH153615043,Number of School,2
Lanao Del Sur,PH153600000,Manggahan,PH153615044,Number of School,2
Lanao Del Sur,PH153600000,Masao,PH153615047,Number of School,4
Lanao Del Sur,PH153600000,Montay,PH153615049,Number of School,1
Lanao Del Sur,PH153600000,Tiongcop,PH153615066,Number of School,1
Lanao Del Sur,PH153600000,Tuboc,PH153615068,Number of School,4
Lanao Del Sur,PH153600000,Jose Abad Santos,PH153615072,Number of School,4
Lanao Del Sur,PH153600000,Macuranding,PH153615073,Number of School,1
Lanao Del Sur,PH153600000,Matalin,PH153615074,Number of School,1
Lanao Del Sur,PH153600000,Pialot,PH153615078,Number of School,2
Lanao Del Sur,PH153600000,Banday,PH153615080,Number of School,1
Lanao Del Sur,PH153600000,Cawayan Bacolod,PH153616005,Number of School,1
Lanao Del Sur,PH153600000,Bacong,PH153616006,Number of School,2
Lanao Del Sur,PH153600000,Camalig Bubong,PH153616018,Number of School,2
Lanao Del Sur,PH153600000,Camalig (Pob.),PH153616022,Number of School,2
Lanao Del Sur,PH153600000,Inudaran Campong,PH153616023,Number of School,6
Lanao Del Sur,PH153600000,Cawayan,PH153616025,Number of School,1
Lanao Del Sur,PH153600000,Daanaingud,PH153616026,Number of School,2
Lanao Del Sur,PH153600000,Cawayan Kalaw,PH153616035,Number of School,1
